trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
841,False,"{'a': 0.5, 'e': 0.00021340208413900294}",20,10,20.78832043630774,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
842,False,"{'a': 0.5, 'e': 0.00021126806329761292}",25,15,18.0200061206138,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
843,False,"{'a': 0.5, 'e': 0.00020915538266463678}",25,8,29.010158874777055,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
844,False,"{'a': 0.5, 'e': 0.0002070638288379904}",25,12,25.8609614317917,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
845,False,"{'a': 0.5, 'e': 0.0002049931905496105}",20,14,11.300091668892918,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
846,False,"{'a': 0.5, 'e': 0.0002029432586441144}",20,13,13.208242862862686,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
847,False,"{'a': 0.5, 'e': 0.00020091382605767324}",25,8,27.993403259437905,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
848,False,"{'a': 0.5, 'e': 0.0001989046877970965}",20,12,12.985769732351596,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
849,False,"{'a': 0.5, 'e': 0.00019691564091912553}",20,12,14.272938266596793,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
850,False,"{'a': 0.5, 'e': 0.00019494648450993428}",25,11,25.214215187023658,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
851,False,"{'a': 0.5, 'e': 0.00019299701966483496}",20,0,24.27692867754294,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
852,False,"{'a': 0.5, 'e': 0.00019106704946818658}",20,6,18.039127391786277,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
853,False,"{'a': 0.5, 'e': 0.00018915637897350473}",25,15,18.461183789573177,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
854,False,"{'a': 0.5, 'e': 0.00018726481518376966}",25,17,20.456689927211407,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
855,False,"{'a': 0.5, 'e': 0.00018539216703193198}",20,8,20.342338575406202,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
856,False,"{'a': 0.5, 'e': 0.00018353824536161266}",35,20,30.7264501531333,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
857,False,"{'a': 0.5, 'e': 0.00018170286290799652}",20,11,18.712176026921032,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
858,False,"{'a': 0.5, 'e': 0.00017988583427891656}",20,6,24.431084140359413,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
859,False,"{'a': 0.5, 'e': 0.0001780869759361274}",25,13,22.172584551536296,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
860,False,"{'a': 0.5, 'e': 0.00017630610617676613}",20,12,13.983310607471026,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
861,False,"{'a': 0.5, 'e': 0.00017454304511499845}",20,6,28.5103361368937,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
862,False,"{'a': 0.5, 'e': 0.00017279761466384847}",20,11,17.27238121836519,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
863,False,"{'a': 0.5, 'e': 0.00017106963851720998}",20,12,15.243774911458315,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
864,False,"{'a': 0.5, 'e': 0.00016935894213203787}",20,6,24.012683878403447,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
865,False,"{'a': 0.5, 'e': 0.00016766535271071751}",25,19,11.83468939539561,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
866,False,"{'a': 0.5, 'e': 0.0001659886991836103}",20,13,13.174031926479618,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
867,False,"{'a': 0.5, 'e': 0.00016432881219177422}",30,19,22.065672000320845,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
868,False,"{'a': 0.5, 'e': 0.00016268552406985647}",35,17,33.71720184011739,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
869,False,"{'a': 0.5, 'e': 0.0001610586688291579}",20,16,8.70523618620288,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
870,False,"{'a': 0.5, 'e': 0.00015944808214086634}",25,11,21.97877381413692,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
871,False,"{'a': 0.5, 'e': 0.00015785360131945767}",20,0,27.795194364905832,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
872,False,"{'a': 0.5, 'e': 0.00015627506530626307}",20,10,18.006812792712953,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
873,False,"{'a': 0.5, 'e': 0.00015471231465320046}",20,10,19.001169007942025,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
874,False,"{'a': 0.5, 'e': 0.00015316519150666843}",30,18,17.03328937637414,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
875,False,"{'a': 0.5, 'e': 0.00015163353959160176}",25,17,16.980944301886662,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
876,False,"{'a': 0.5, 'e': 0.00015011720419568574}",25,3,42.50836539624746,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
877,False,"{'a': 0.5, 'e': 0.00014861603215372889}",30,16,26.284641753632016,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
878,False,"{'a': 0.5, 'e': 0.00014712987183219158}",20,13,16.133281506191874,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
879,False,"{'a': 0.5, 'e': 0.00014565857311386968}",25,12,27.352085319434853,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
880,False,"{'a': 0.5, 'e': 0.00014420198738273097}",20,14,11.75493735224207,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
881,False,"{'a': 0.5, 'e': 0.00014275996750890367}",25,12,25.59402558520838,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
882,False,"{'a': 0.5, 'e': 0.00014133236783381463}",20,3,30.718792851649535,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
883,False,"{'a': 0.5, 'e': 0.0001399190441554765}",25,15,23.352720557036868,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
884,False,"{'a': 0.5, 'e': 0.00013851985371392172}",20,15,10.412884196016163,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
885,False,"{'a': 0.5, 'e': 0.0001371346551767825}",20,11,13.875844161072367,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
